#{"t_start": 1632079513.5135272, "env_id": "ScratchItchJacoHuman-v1"}
r,l,t
-101.448994,200,10.050261
-49.867781,200,17.272411
-75.862854,200,24.448213
-35.065203,200,31.685849
-47.210601,200,38.76604
-52.313486,200,46.026289
-51.389019,200,77.889805
-50.843571,200,85.094915
-29.664831,200,117.477035
-120.154078,200,124.268663
-73.360197,200,132.11479
-33.078743,200,163.624905
-56.393058,200,170.482732
-69.364934,200,177.812875
-27.0331,200,184.760683
-52.666778,200,200.449871
-23.315713,200,207.69309
-39.652055,200,214.950295
-28.621973,200,222.23843
-41.393087,200,234.446764
-48.769366,200,250.793187
-30.827594,200,257.728404
-46.078197,200,273.213795
-54.439771,200,280.443301
-28.072008,200,287.3502
-35.651032,200,294.310088
-84.298205,200,325.980457
-43.177421,200,357.247597
-40.557638,200,364.103602
31.394636,200,371.291507
-69.769295,200,379.328312
-28.378318,200,410.890411
-16.047895,200,417.788875
-30.705921,200,433.181736
-48.802762,200,440.855126
-21.45559,200,448.034359
-0.675599,200,455.078828
-27.897635,200,487.157893
-46.950475,200,494.294018
-44.623318,200,501.625316
-22.905501,200,510.148194
-34.39111,200,517.636914
-42.321578,200,525.20971
-3.216048,200,558.304049
-28.69325,200,565.16328
-32.851027,200,572.103967
-43.647339,200,579.276129
-32.640329,200,586.226601
-72.242276,200,594.412691
17.770749,200,601.53279
-28.478673,200,633.190196
-38.36493,200,641.464309
-58.397678,200,648.635358
-30.299033,200,655.752092
-30.938841,200,687.275946
-29.992787,200,694.281907
10.745791,200,725.774985
-32.8733,200,758.594504
-30.311122,200,765.831356
-33.263217,200,772.944013
-17.372624,200,805.657698
-33.887449,200,813.790398
48.563373,200,829.107046
-22.40567,200,836.048829
-25.507575,200,843.250375
-32.806832,200,850.38201
-32.851043,200,857.404599
-25.274252,200,864.629541
-22.498819,200,872.001832
-50.526228,200,903.821978
16.126247,200,910.878387
-22.916623,200,918.856038
-62.21925,200,950.785351
-30.725039,200,957.790079
-31.963795,200,964.729222
-31.002351,200,972.330664
-19.246294,200,979.443933
24.80759,200,986.559203
-37.753072,200,993.658252
-24.345484,200,1000.822497
0.165604,200,1008.471755
65.054529,200,1017.076071
-13.697174,200,1049.085359
-42.211981,200,1064.579071
-30.025627,200,1071.652072
-11.180855,200,1078.796827
-13.632117,200,1110.927475
-41.398408,200,1118.018469
31.487854,200,1133.621317
-22.327567,200,1140.699698
-29.187866,200,1147.997017
-27.024502,200,1155.199693
-21.953833,200,1163.406847
-28.978045,200,1170.471181
-37.016947,200,1177.780539
-27.148789,200,1184.732704
51.361671,200,1191.929172
0.247429,200,1199.026249
1.957478,200,1206.311677
3.639953,200,1213.757211
32.739561,200,1220.858831
75.312923,200,1253.122508
-21.279176,200,1261.892903
-25.677098,200,1269.31955
-29.43802,200,1276.993286
-22.046476,200,1310.292688
4.130923,200,1317.811023
-4.292105,200,1350.827535
-31.000175,200,1384.154815
39.27179,200,1391.075159
-27.421202,200,1398.176243
-10.411926,200,1405.433813
-9.936588,200,1413.620306
-1.461743,200,1445.620931
-25.566891,200,1452.735333
-18.776985,200,1468.057281
43.582249,200,1475.072075
15.541217,200,1482.339645
-30.524965,200,1515.615073
-22.073755,200,1523.188897
6.07809,200,1530.439333
-41.194554,200,1563.547462
-30.134535,200,1571.92553
-21.963444,200,1605.488901
-27.166958,200,1613.014096
-22.831076,200,1620.496853
-34.333319,200,1627.815369
-33.385859,200,1643.781973
-27.852926,200,1651.416656
32.582638,200,1659.099471
29.116317,200,1675.053373
-0.540014,200,1682.316464
-43.85453,200,1697.565755
-34.631733,200,1729.916311
15.779249,200,1760.958129
-39.354997,200,1768.115955
-27.329889,200,1799.261852
48.658347,200,1830.02418
-23.852961,200,1837.180107
-26.128799,200,1852.046547
28.747362,200,1859.132524
3.711451,200,1866.029292
-28.110012,200,1872.912474
35.736836,200,1882.317457
-27.076877,200,1889.773027
-29.354688,200,1897.148614
-37.86135,200,1904.682718
-20.714519,200,1937.811219
4.418842,200,1970.684625
-44.313012,200,1986.434616
29.995089,200,2019.572089
29.144928,200,2052.052392
16.214444,200,2059.525555
-29.989528,200,2091.566979
-59.350363,200,2122.242719
32.005935,200,2129.349263
-12.682594,200,2160.886097
-25.770305,200,2168.05724
-15.035142,200,2183.151294
-24.741147,200,2190.008807
33.173017,200,2197.151838
-29.891739,200,2204.06482
-22.676296,200,2211.367853
-19.138103,200,2219.445184
-24.112982,200,2226.402468
-0.979175,200,2233.397701
13.550955,200,2240.567031
-30.16091,200,2247.895794
-25.927538,200,2255.229668
-20.942706,200,2262.303902
47.409591,200,2269.515184
-9.382346,200,2301.366442
-26.443639,200,2308.423729
65.415192,200,2315.504957
6.995055,200,2323.593463
-22.443779,200,2355.282655
-28.138866,200,2370.451128
-26.974979,200,2401.983268
-29.472858,200,2409.068887
-28.589486,200,2440.724329
-21.569182,200,2447.873905
-25.11711,200,2454.760793
4.164173,200,2461.900646
75.294248,200,2493.774929
-108.216312,200,2526.309545
-29.893746,200,2541.564062
9.755622,200,2548.547126
-32.991205,200,2555.947309
6.000816,200,2571.180857
-19.229552,200,2602.258667
-1.826092,200,2633.158687
-30.436498,200,2648.868993
-18.943641,200,2655.976584
-21.965758,200,2662.979638
-20.070145,200,2671.14276
-13.26267,200,2678.07004
-29.379682,200,2685.072176
-24.655852,200,2692.511791
-31.851451,200,2700.099675
-26.129317,200,2707.964464
-36.639154,200,2715.392489
27.10407,200,2722.922991
-3.184132,200,2755.893874
-23.916087,200,2763.300986
47.777993,200,2771.871538
-10.894436,200,2804.685136
84.388097,200,2812.183286
14.291796,200,2819.518991
-22.979869,200,2826.979373
39.586078,200,2834.221175
94.050769,200,2841.724192
-36.311714,200,2874.307732
-10.285363,200,2881.523328
-24.585798,200,2888.418147
-26.650473,200,2903.707223
-13.721797,200,2911.813704
-90.354466,200,2944.658177
19.677399,200,2976.97851
-33.106698,200,2984.091495
6.366699,200,2991.062894
27.150464,200,2998.214185
4.459941,200,3030.742889
-26.704276,200,3037.973378
-32.181887,200,3045.080749
-29.386456,200,3060.960426
-10.359444,200,3093.077391
27.409404,200,3123.435975
-27.333078,200,3153.915556
-26.467163,200,3160.942361
-24.511689,200,3168.285642
