#{"t_start": 1631506751.000614, "env_id": "ScratchItchJacoHuman-v1"}
r,l,t
-33.677774,200,9.342788
-129.454847,200,17.036022
-74.6356,200,24.80605
-61.186907,200,32.566102
-82.433514,200,40.248869
-62.040773,200,48.02089
-39.13559,200,80.934636
-58.591314,200,88.820351
-73.623649,200,122.039995
-83.342474,200,129.634511
-38.056791,200,138.73217
-45.308328,200,171.62308
-71.905897,200,179.299365
-48.121514,200,187.35762
-27.297542,200,195.014958
-86.006753,200,211.207782
-36.863731,200,218.918973
-59.009516,200,226.557361
-61.0602,200,234.313937
-51.034467,200,250.395675
-26.99999,200,284.99097
-25.165928,200,301.058759
-36.230483,200,317.322898
-35.539472,200,325.422043
-55.905381,200,341.600419
-30.093326,200,349.416637
-49.396697,200,357.075969
-37.980683,200,364.747267
-26.533327,200,372.65892
-34.321686,200,380.588525
-0.614793,200,389.753814
-23.311826,200,422.607844
-41.669979,200,430.377877
-36.733009,200,463.216359
-33.997142,200,470.950566
-31.413057,200,487.065186
-33.73192,200,494.748458
-19.494572,200,502.419762
-21.973709,200,535.700613
-2.896872,200,568.664482
-33.330969,200,577.938463
-41.375852,200,585.920928
-36.593563,200,593.571289
-67.85041,200,609.771584
-14.485392,200,625.842256
-20.990632,200,658.659619
-40.507034,200,666.277069
-67.669175,200,682.571137
-35.920304,200,715.858551
-40.846191,200,723.570745
-38.57275,200,731.457515
-36.6699,200,740.833226
-24.374724,200,757.242958
-21.109304,200,765.067867
33.574529,200,798.425911
8.38688,200,806.177011
-1.120695,200,822.494013
-32.185856,200,830.251092
-23.221859,200,838.128352
-49.264054,200,871.065234
-23.473109,200,878.967923
-37.826489,200,913.384604
-10.24249,200,921.192561
-36.244163,200,929.067322
-24.208553,200,962.298402
-35.627514,200,970.183642
-31.658577,200,977.954682
-49.641528,200,1010.610768
1.864928,200,1018.547377
-26.573253,200,1026.321409
-32.835507,200,1042.556621
-28.526439,200,1059.958705
-25.841789,200,1093.146872
0.719884,200,1100.9718
31.142847,200,1108.836594
-30.392666,200,1141.641283
-24.272824,200,1149.43826
-3.946779,200,1165.515048
8.242584,200,1198.80438
-24.558152,200,1206.67815
-25.753203,200,1240.252129
-27.924569,200,1249.249873
79.09683,200,1257.252298
-29.551095,200,1290.209407
-26.732128,200,1323.567637
-34.58589,200,1339.618385
-33.380359,200,1355.933561
-26.407181,200,1363.679679
32.041091,200,1379.757386
57.607514,200,1412.708764
-9.083618,200,1420.313264
3.059403,200,1428.207489
-3.022962,200,1437.505423
68.863682,200,1445.254533
3.111217,200,1461.546613
0.637821,200,1494.473986
-32.233472,200,1502.218385
-3.199067,200,1518.252665
-30.993758,200,1534.480964
-30.385965,200,1567.251419
-36.21005,200,1600.456968
-28.071165,200,1608.157211
-56.802162,200,1642.683102
-30.951359,200,1675.313535
-8.608467,200,1683.005804
-27.271245,200,1690.922472
67.577548,200,1698.771317
9.977285,200,1714.87292
-23.273047,200,1730.351206
-32.76626,200,1738.276845
-26.114031,200,1771.811493
-7.390477,200,1779.554623
0.00375,200,1788.688006
35.778962,200,1821.424785
-34.69057,200,1837.550365
-29.182084,200,1845.279565
-53.995514,200,1878.567043
11.993365,200,1894.838189
-31.746349,200,1902.854583
-38.565163,200,1936.006808
24.323947,200,1943.704062
23.202268,200,1951.513328
-8.592465,200,1960.706624
17.2327,200,1993.69576
-25.0395,200,2001.568547
5.157695,200,2034.438507
50.79901,200,2042.24148
-37.664002,200,2050.153174
-29.717535,200,2066.414357
42.42079,200,2074.087192
92.656315,200,2107.412472
-25.736817,200,2140.152816
-30.143801,200,2149.227377
26.941401,200,2158.379753
-27.03772,200,2166.2675
7.116368,200,2173.924883
-24.37702,200,2207.06204
13.120625,200,2215.018882
26.914435,200,2223.012342
-25.633737,200,2230.945965
-40.803409,200,2263.918695
14.634526,200,2271.817416
-25.705303,200,2279.608442
28.568986,200,2288.753804
11.353413,200,2322.057105
-28.41279,200,2329.971782
-59.530254,200,2362.98286
-22.497495,200,2370.776863
3.465134,200,2387.006169
