#{"t_start": 1632030001.0481484, "env_id": "ScratchItchJacoHuman-v1"}
r,l,t
-71.944893,200,9.474668
-57.200545,200,16.64703
-48.786835,200,23.959511
-51.783312,200,31.328585
-35.693674,200,38.562632
-51.620623,200,45.907645
-54.850036,200,77.815063
-64.634006,200,85.039453
-45.745019,200,116.14602
-113.813218,200,122.958838
-56.371554,200,131.036105
-37.622119,200,162.75234
-60.577883,200,169.782707
-71.712684,200,177.17006
-78.653843,200,184.163488
-46.060527,200,199.229823
-38.653338,200,206.179271
-34.949349,200,213.179322
-56.366204,200,220.194469
-42.33239,200,231.827428
-25.670455,200,247.980217
-4.814007,200,254.900055
-33.104165,200,270.168051
-44.261861,200,277.424869
-27.419207,200,284.328393
-59.754818,200,291.303945
-46.544359,200,322.664807
-50.19145,200,353.650676
-41.10439,200,360.614707
-75.08856,200,367.77653
-54.005586,200,375.898823
-36.726715,200,406.965802
-16.210544,200,413.943758
-29.574483,200,429.195807
-41.821966,200,436.916446
-31.90003,200,444.131369
-40.86925,200,451.189524
-41.859496,200,482.709487
-66.772516,200,489.669962
-35.410127,200,496.665489
2.199137,200,504.787021
-32.601883,200,511.941233
-24.140065,200,519.179173
-63.066592,200,551.366449
-25.312778,200,558.266481
-29.04864,200,565.281427
-41.144821,200,572.349268
-25.971496,200,579.399574
-73.687293,200,587.654533
82.850007,200,594.941672
-35.512175,200,626.633766
20.433711,200,634.738232
-22.82806,200,641.97902
-36.931812,200,649.16195
-39.763729,200,681.181926
-37.872612,200,688.194134
-15.7467,200,720.173005
-47.605865,200,751.838698
-28.302152,200,758.844267
-47.217843,200,765.675562
-16.697025,200,797.000326
-21.527159,200,805.008838
46.148777,200,820.23798
-13.706437,200,827.177176
-25.143532,200,834.294653
-31.816555,200,841.408077
-34.805229,200,848.49177
-28.316173,200,855.644338
-23.747019,200,862.816319
-39.33313,200,893.891155
-16.400201,200,900.829795
-26.512173,200,908.701351
-82.048755,200,939.519557
-60.346527,200,946.436552
-35.185454,200,953.23186
-17.668775,200,960.31793
-11.194111,200,967.317466
-31.631824,200,974.34246
-32.66755,200,981.310944
-26.027267,200,988.266834
-29.36613,200,995.478485
44.338657,200,1003.775556
-29.37378,200,1036.08405
-44.464359,200,1051.603596
-33.642583,200,1058.653682
-4.551453,200,1065.658484
-22.475461,200,1097.031539
-32.194088,200,1103.870378
-21.764785,200,1119.115657
-22.456025,200,1126.220784
-29.838198,200,1133.373033
2.865302,200,1140.515877
-27.537549,200,1148.722723
-30.539167,200,1155.844004
-35.507342,200,1163.013251
-33.090059,200,1170.029672
-20.5238,200,1177.189737
-13.42143,200,1184.342684
-21.208643,200,1191.707316
74.688621,200,1199.202183
4.35115,200,1206.315453
1.8476,200,1238.432688
-19.174068,200,1246.539109
-29.454268,200,1253.482973
-27.742961,200,1260.517941
-23.807865,200,1291.907993
20.276176,200,1299.170244
-5.131426,200,1331.939747
-32.947954,200,1364.245104
19.011593,200,1371.363535
-27.699233,200,1378.78333
-4.113402,200,1386.36744
28.281744,200,1394.879241
-36.216047,200,1427.633349
-22.898953,200,1435.03496
-22.295961,200,1451.027028
20.454717,200,1458.201439
-11.152319,200,1465.240795
-30.082764,200,1496.670788
-23.227009,200,1503.748626
-0.454031,200,1510.782948
-38.202891,200,1543.547191
-32.549301,200,1551.788142
-24.617075,200,1584.439461
-31.833014,200,1591.481923
-24.895114,200,1598.570963
-35.959823,200,1605.71508
-32.161213,200,1621.540963
19.747143,200,1628.868688
0.721388,200,1636.062899
37.52283,200,1651.517881
-25.534666,200,1658.765175
-31.489566,200,1674.254753
-36.421876,200,1706.543345
10.275892,200,1737.94212
-44.030963,200,1744.954748
-25.177269,200,1776.523687
5.833317,200,1807.471479
-27.407839,200,1814.584601
-32.643718,200,1829.948044
-10.440605,200,1837.08679
-17.908132,200,1844.085236
-21.100447,200,1851.094066
-5.804985,200,1860.331961
-26.647763,200,1867.532536
-29.910309,200,1874.715526
-40.867768,200,1881.990658
3.175842,200,1914.865416
1.001711,200,1947.116456
-26.710182,200,1962.473278
-23.818954,200,1994.650388
1.959667,200,2025.851522
-13.939907,200,2032.87094
-30.896281,200,2065.282196
-47.057614,200,2095.626303
-34.220798,200,2102.521365
-8.932715,200,2133.346148
-25.432661,200,2140.585129
-8.931748,200,2156.309879
-22.877988,200,2163.480151
24.023511,200,2170.988996
-28.709717,200,2178.214899
-27.687297,200,2185.844895
-24.125597,200,2194.332756
-25.043613,200,2201.557307
-9.144479,200,2208.921034
19.857182,200,2216.387981
-32.520301,200,2223.975628
-22.634834,200,2231.632879
-13.254478,200,2239.008743
-2.831538,200,2246.599629
-16.819581,200,2279.714207
-10.285755,200,2286.603146
4.614108,200,2293.599693
-8.518048,200,2301.70973
0.216056,200,2333.53162
-48.299429,200,2348.767242
-25.618301,200,2380.368499
-30.639229,200,2387.490044
-27.508883,200,2418.710425
-23.710084,200,2425.419746
-17.762961,200,2432.278684
-16.929051,200,2439.555341
-7.081785,200,2472.441005
-57.642449,200,2506.388679
-49.682373,200,2521.768547
21.458298,200,2529.006799
-53.92401,200,2536.682573
32.472132,200,2552.163285
-26.915432,200,2584.242654
-8.169117,200,2615.739245
-25.69587,200,2631.028761
-21.977752,200,2637.975752
2.305409,200,2644.958435
-24.65394,200,2653.246019
44.36871,200,2660.267144
-31.269268,200,2667.254605
-24.482264,200,2674.387066
-35.691078,200,2681.61515
-33.640437,200,2688.861034
21.004835,200,2695.849002
18.515596,200,2702.772616
3.53647,200,2734.392862
-19.874649,200,2741.353606
31.843039,200,2749.409462
25.370269,200,2780.941387
40.51944,200,2788.06124
-21.168006,200,2795.139147
-24.385122,200,2802.172445
86.517051,200,2809.007462
-24.1738,200,2816.15127
-30.976567,200,2847.557254
-22.736831,200,2854.53878
-23.235071,200,2861.396506
-27.609434,200,2876.559334
-28.296195,200,2884.665625
-58.486975,200,2916.354909
42.993533,200,2949.015051
-45.407154,200,2956.415037
-2.030516,200,2963.617769
12.091638,200,2970.774587
66.901602,200,3003.450298
-28.23484,200,3010.760405
-23.233353,200,3017.993563
-31.635336,200,3033.905679
61.971218,200,3067.372991
36.284331,200,3099.528594
0.583916,200,3131.638399
-7.230154,200,3138.70328
-26.204202,200,3145.959323
45.402775,200,3153.211941
-31.977751,200,3160.596526
-24.189426,200,3167.857058
-33.447687,200,3175.205011
-20.148011,200,3182.576631
34.755555,200,3191.057117
-13.52313,200,3222.928288
-33.51908,200,3254.660022
-35.944716,200,3286.188567
-27.776201,200,3317.527196
-21.15257,200,3324.392307
26.918761,200,3331.436259
36.850973,200,3338.301298
-36.463849,200,3370.078241
-28.570825,200,3376.921686
50.116019,200,3385.025914
11.125968,200,3416.660508
66.432847,200,3423.670134
73.656756,200,3438.742962
59.714486,200,3462.367461
-4.859179,200,3469.340219
-26.38752,200,3476.277037
-21.92587,200,3483.265537
-25.698982,200,3498.612738
9.52481,200,3505.683871
-31.289202,200,3537.526769
1.467534,200,3545.970171
-14.049109,200,3578.973307
-27.135923,200,3594.689767
20.535723,200,3627.244673
-15.13005,200,3634.535629
-38.272585,200,3666.942838
84.399854,200,3674.087428
84.224066,200,3682.593205
72.02714,200,3689.451563
62.243786,200,3721.047621
-7.5658,200,3729.140952
22.540897,200,3736.307806
-26.5022,200,3743.370557
-29.777679,200,3750.32344
-30.142484,200,3757.448799
-38.630811,200,3764.736889
6.694059,200,3771.935559
-8.949313,200,3779.142212
-13.878132,200,3810.647909
12.518579,200,3817.725214
76.344498,200,3850.536161
71.138413,200,3866.437393
-9.561037,200,3873.742531
-23.205166,200,3880.976188
27.452566,200,3888.198806
83.059926,200,3919.952362
-25.875906,200,3927.161066
-33.230087,200,3958.881788
-24.137062,200,3965.973789
-24.898763,200,3973.198065
19.538543,200,3997.915328
-23.04339,200,4004.984665
-24.509765,200,4012.042832
5.353749,200,4044.031082
-20.585524,200,4075.673533
-23.10407,200,4106.834094
-19.554691,200,4113.734568
-3.324351,200,4120.934418
-40.487179,200,4127.975333
-2.728408,200,4159.778326
44.938623,200,4192.375828
-22.912294,200,4199.111166
-21.684031,200,4206.040315
54.079407,200,4213.009147
-23.355874,200,4220.217063
-9.421547,200,4227.401041
21.794179,200,4234.635379
37.843128,200,4266.929654
-29.129504,200,4273.728496
-21.50568,200,4280.62902
-20.17355,200,4296.210184
42.640894,200,4329.093065
-39.071827,200,4339.326319
-32.265322,200,4346.874732
-26.354839,200,4354.416507
-24.928187,200,4370.767109
-9.568094,200,4403.4598
1.647183,200,4410.79362
42.491467,200,4417.902509
95.594623,200,4425.065053
18.150783,200,4432.482673
25.541401,200,4440.76458
-34.592497,200,4456.792615
-28.792671,200,4464.29721
23.792511,200,4471.742394
25.618222,200,4479.025264
-26.840654,200,4486.615946
-24.480854,200,4496.86828
22.964602,200,4504.456211
89.074145,200,4511.913813
-24.7346,200,4519.359599
-58.117422,200,4553.822303
92.380365,200,4561.253234
-26.878835,200,4568.805701
-22.705497,200,4576.292553
-2.179919,200,4583.449772
-21.319977,200,4590.8021
-21.481754,200,4606.222313
-18.451895,200,4613.302652
-29.065792,200,4620.570818
-26.77107,200,4636.081009
-24.276194,200,4644.124865
37.069204,200,4651.203284
85.187022,200,4683.702204
-10.75469,200,4691.098794
-32.130109,200,4707.139479
-21.555065,200,4714.703941
-36.019368,200,4730.835438
6.920621,200,4738.252781
14.066878,200,4745.44837
-7.531784,200,4752.696987
-31.008703,200,4768.146199
-29.618861,200,4776.74817
-28.957496,200,4784.456961
-22.955567,200,4791.920485
-14.176751,200,4808.31794
-28.119672,200,4815.944773
-23.627157,200,4823.365605
-33.375667,200,4839.726951
-12.50088,200,4873.226263
-29.545426,200,4880.377765
28.357303,200,4887.729576
48.819212,200,4896.202698
-32.739136,200,4903.21936
-21.373766,200,4918.700969
-20.414048,200,4926.031883
-26.534229,200,4933.847553
-24.65025,200,4941.308967
-16.071652,200,4948.749218
17.827161,200,4982.666113
-24.355326,200,5016.432651
24.770342,200,5032.02719
93.513824,200,5040.18553
-33.323238,200,5047.495247
48.536419,200,5080.045781
9.923401,200,5087.114767
-33.79485,200,5118.635264
-33.159371,200,5125.789515
-15.728682,200,5132.829148
-25.04831,200,5140.025149
10.094733,200,5147.341773
-26.709847,200,5163.046651
-10.429211,200,5179.793008
12.00534,200,5186.911497
-23.657843,200,5219.055017
-23.607526,200,5225.886712
8.229335,200,5232.945339
83.036448,200,5240.006948
-26.190115,200,5273.204718
68.194149,200,5305.835312
15.30306,200,5320.994096
-42.656541,200,5353.03066
-26.817748,200,5359.917014
-39.21803,200,5393.036644
-14.318566,200,5424.738277
30.536055,200,5432.465054
-4.127959,200,5446.961116
-21.525448,200,5478.391598
37.310131,200,5485.48617
-22.933764,200,5492.646369
10.430446,200,5499.601438
0.083519,200,5506.708239
-11.411653,200,5538.752772
-22.85077,200,5555.018263
-38.485911,200,5561.987363
-29.051629,200,5569.005042
-16.261571,200,5576.030073
131.402101,200,5607.984828
12.015389,200,5614.923433
-24.310565,200,5621.96264
-27.340037,200,5629.248007
-15.318701,200,5636.380639
-26.214114,200,5652.201212
-17.402928,200,5668.518252
10.81505,200,5700.332721
53.764927,200,5731.845646
-25.572237,200,5738.925747
-27.222512,200,5745.99282
-21.950138,200,5753.10971
41.326567,200,5760.306912
21.326626,200,5767.391165
-28.539013,200,5774.83337
-18.844455,200,5782.324962
