#{"t_start": 1631288603.5605657, "env_id": "ScratchItchJacoHuman-v1"}
r,l,t
-31.32096,200,4.317045
198.80552,200,6.29813
-66.087716,200,8.380125
-17.087065,200,10.422791
-8.331998,200,12.484671
145.096116,200,22.254493
86.828202,200,24.34677
-31.508562,200,26.455995
1.272366,200,36.733194
132.901851,200,38.856715
-64.991733,200,50.181313
100.851701,200,52.188967
-38.889382,200,54.302723
-33.239905,200,56.446061
-36.128398,200,58.470305
106.862382,200,60.641742
-18.087481,200,62.813111
250.414064,200,65.111165
62.859932,200,67.299513
54.197725,200,69.374619
167.899746,200,72.640317
161.91856,200,74.774375
-32.258483,200,76.784907
-4.909412,200,87.665153
-31.137147,200,90.06397
144.150808,200,92.225435
137.303174,200,94.285907
68.798305,200,104.302013
72.464174,200,106.40219
-19.9507,200,108.391116
-25.297608,200,119.684504
89.821901,200,121.895946
89.151265,200,124.034869
-29.169284,200,126.313474
-29.560598,200,136.952798
80.007977,200,139.144604
64.903626,200,145.865302
-27.329203,200,147.969467
12.403382,200,150.129129
121.556203,200,152.446985
86.636613,200,155.797316
-22.86192,200,157.788179
79.44163,200,159.985387
97.799992,200,170.192625
-14.608972,200,172.644306
-8.727787,200,174.837664
81.331983,200,177.076816
-42.37007,200,179.280286
-28.684981,200,181.519563
151.046479,200,184.88647
-15.621084,200,187.211643
155.766463,200,190.593081
113.067465,200,192.692356
-26.228883,200,200.581023
113.464677,200,202.824802
219.230324,200,205.083342
112.445328,200,207.145126
-36.894292,200,217.5357
96.129928,200,228.031512
-99.06951,200,230.179038
-22.338154,200,232.43786
-35.954162,200,235.771566
3.840901,200,237.99486
151.046526,200,240.122415
208.246159,200,242.303318
219.995522,200,244.477112
177.640996,200,255.307625
67.500393,200,257.540923
-29.385895,200,259.918279
59.372508,200,270.746705
-17.558536,200,281.17337
133.41284,200,284.641187
-14.183369,200,286.836085
265.55506,200,289.114228
102.086489,200,291.40937
14.419672,200,293.710405
97.666325,200,295.91117
-22.115255,200,298.174208
-35.651009,200,300.409514
134.519803,200,302.523095
15.6483,200,304.787208
41.50277,200,308.109301
139.83956,200,310.43364
164.722228,200,312.919674
-37.388922,200,315.324395
233.899465,200,317.55653
107.604142,200,319.819628
260.101272,200,322.030306
209.484445,200,324.257513
-43.123801,200,326.417517
-179.400921,200,337.476079
128.928798,200,339.700074
-71.940545,200,351.596931
140.995983,200,353.971719
66.91998,200,356.535362
64.730262,200,359.030995
55.623925,200,361.239251
98.187337,200,372.462015
-18.847433,200,374.678647
158.742911,200,376.86064
183.960671,200,379.325744
19.519654,200,390.452892
38.984656,200,393.76938
-5.275421,200,396.082974
249.769124,200,398.444305
-40.377435,200,400.791729
-29.292577,200,403.240239
83.477004,200,405.412617
124.964874,200,407.53955
195.178802,200,409.649367
-12.463379,200,411.884676
-177.79677,200,422.367694
182.012531,200,425.744266
122.043864,200,427.992757
200.261599,200,438.545725
239.58964,200,449.237387
58.22101,200,451.470395
