#{"t_start": 1631207291.2306786, "env_id": "ScratchItchJacoHuman-v1"}
r,l,t
-129.751761,200,3.695038
-140.292016,200,5.698537
-93.196371,200,7.75291
-148.278567,200,9.829229
-68.278358,200,11.907529
-129.773675,200,13.987838
-119.627906,200,16.083196
-67.037929,200,18.195563
-150.691552,200,20.153178
-98.745628,200,22.216502
-70.844637,200,25.643441
-84.353527,200,27.759624
-120.587986,200,54.897134
-102.201247,200,56.990368
-101.214527,200,59.118523
-64.198312,200,61.20981
-59.313074,200,63.233379
-81.988745,200,65.228889
-76.406033,200,92.444055
-70.012118,200,94.560281
-64.974227,200,98.065735
-61.820471,200,125.395559
-55.686083,200,127.37618
-74.247952,200,137.902226
-57.746673,200,140.048384
-67.65097,200,142.190504
-77.805881,200,144.329628
-62.08278,200,146.397922
-71.16113,200,148.585946
-83.416083,200,150.703079
-80.872603,200,154.199462
-86.242678,200,181.510849
-106.861225,200,183.701836
-59.006571,200,185.920725
-69.251167,200,188.0738
-57.550621,200,190.178148
-91.699305,200,192.373232
-67.835773,200,194.583154
-73.872104,200,196.725232
-85.907623,200,198.7856
-90.144831,200,202.196218
-104.906333,200,204.330348
-52.924824,200,206.486099
-82.130166,200,208.602392
-77.263974,200,210.708602
-61.958797,200,213.023291
-65.09029,200,215.178363
-86.063456,200,217.255648
-54.425412,200,219.35288
-102.102887,200,221.477043
-84.848154,200,232.069957
-53.611,200,235.610369
-66.742396,200,237.793484
-74.734626,200,239.872971
-83.458547,200,242.022355
-54.897507,200,244.132671
-91.869723,200,272.114969
-89.486182,200,274.285229
-56.96399,200,276.448546
-51.015443,200,278.597825
-73.338975,200,280.731096
-99.513926,200,284.190893
-59.090739,200,286.344294
-77.441984,200,288.479556
-57.478837,200,290.51614
-78.6681,200,292.686338
-67.124187,200,294.766752
-53.184038,200,296.844202
-104.689902,200,298.92762
-60.900889,200,300.97714
-81.192543,200,311.353413
-74.43287,200,323.180836
-89.547516,200,333.67776
-64.277973,200,335.778145
-78.871271,200,337.839632
-56.738877,200,339.891147
-77.201935,200,341.953729
-58.667563,200,344.104976
-63.782024,200,346.151505
-82.766446,200,348.314827
-73.791721,200,376.147586
-79.898441,200,379.62442
-55.896441,200,381.723793
-90.588292,200,383.908086
-55.47001,200,386.118194
-58.524849,200,388.292518
-62.021426,200,390.441804
-47.001748,200,392.517254
-56.763246,200,394.557812
-85.845881,200,396.726999
-68.051316,200,398.889225
-69.02209,200,400.942726
-77.619361,200,429.455026
-60.944626,200,431.65416
-72.409539,200,433.867276
-61.636376,200,435.937777
-78.990425,200,463.23781
-60.218773,200,465.499821
-119.615318,200,467.573278
-62.485334,200,469.729512
-66.493063,200,471.923646
-55.378905,200,473.933326
-53.97711,200,477.347353
-74.362618,200,479.50065
-85.258114,200,481.638012
-69.924955,200,483.704501
-70.4376,200,510.882586
-65.703439,200,512.988014
-53.537664,200,515.170245
-73.022923,200,517.303514
-63.593864,200,519.394918
-60.291265,200,521.600153
-96.909577,200,525.074862
-44.81018,200,527.238086
-113.766713,200,537.612339
-82.998855,200,539.727683
-47.740679,200,541.861042
-68.672728,200,546.439853
-55.326228,200,548.479407
-65.857411,200,550.651591
-51.599829,200,552.759953
-67.26268,200,563.311751
-54.690065,200,566.720664
-85.776024,200,568.830992
-112.390965,200,570.941484
-85.05214,200,573.058819
-84.914238,200,575.164195
-46.498055,200,577.268575
-75.332616,200,579.401911
-81.318363,200,581.58103
-68.799922,200,583.687402
-52.985935,200,585.863579
-57.295778,200,596.433315
-54.284706,200,599.983011
-63.699497,200,627.000134
-76.880994,200,637.608806
-50.756918,200,639.726178
-87.419303,200,641.812598
