#{"t_start": 1631224429.3517327, "env_id": "ScratchItchJacoHuman-v1"}
r,l,t
-91.955811,200,4.585582
-89.970922,200,6.584191
-76.8952,200,8.744432
-136.446721,200,10.88531
-104.200328,200,13.061887
-85.805266,200,22.68381
-143.531197,200,24.634029
-132.778055,200,26.565912
-86.424836,200,36.401808
-117.299531,200,38.322525
-97.89943,200,48.859586
-197.709973,200,50.73192
-120.737179,200,52.686249
-113.48869,200,54.635878
-80.195664,200,56.534954
-124.931475,200,58.509018
-79.252846,200,60.399386
-161.451687,200,62.36872
-95.133663,200,64.328223
-92.076376,200,66.206176
-94.874488,200,69.161883
-179.200081,200,71.052933
-75.238004,200,73.000335
-110.614278,200,82.831959
-85.909171,200,84.715744
-81.692813,200,86.702401
-79.632471,200,88.691328
-143.451371,200,98.444758
-91.173071,200,100.457504
-120.384466,200,102.290785
-100.661518,200,112.911317
-66.604389,200,114.875811
-111.175894,200,116.734792
-73.373463,200,118.702657
-106.05012,200,128.386021
-75.413362,200,130.486742
-118.108195,200,137.100406
-62.703929,200,139.076738
-111.627759,200,140.942748
-106.689046,200,142.926998
-102.288195,200,145.881039
-101.191614,200,147.741944
-94.931003,200,149.640945
-66.12104,200,159.216608
-99.512558,200,161.416964
-71.624379,200,163.346118
-99.533355,200,165.383959
-111.301989,200,167.321387
-95.498995,200,169.325217
-111.982725,200,172.449728
-145.246822,200,174.533439
-77.730926,200,177.529851
-81.765152,200,179.494895
-102.877977,200,187.054409
-76.87389,200,189.05175
-137.583124,200,191.051578
-96.001844,200,192.958399
-93.410698,200,202.728222
-120.234383,200,212.395444
-122.91789,200,214.300235
-112.24715,200,216.324166
-119.284885,200,219.267791
-82.952412,200,221.264827
-88.875466,200,223.223233
-82.789617,200,225.18874
-79.478223,200,227.088719
-65.730199,200,236.688354
-80.048765,200,238.610943
-103.048576,200,240.672996
-94.81626,200,250.807674
-82.415658,200,260.439129
-73.736087,200,263.558671
-58.797474,200,265.570489
-67.049196,200,267.603468
-72.663569,200,269.666631
-61.650039,200,271.755382
-107.235497,200,273.830901
-90.357892,200,275.785352
-58.617571,200,277.863079
-81.147986,200,279.858195
-86.000743,200,281.993078
-105.341257,200,285.031616
-82.225442,200,286.922189
-78.376715,200,288.943108
-106.08776,200,290.94559
-68.287006,200,292.910671
