#{"t_start": 1631139429.3343327, "env_id": "ScratchItchJacoHuman-v1"}
r,l,t
-191.809385,200,4.255801
-137.588565,200,6.162157
-123.334315,200,10.398604
-205.198953,200,20.202955
-117.149236,200,22.206988
-134.421526,200,24.260418
-86.678967,200,26.321283
-79.005496,200,28.285164
-88.310848,200,38.265026
-108.930044,200,40.213716
-164.997501,200,43.095997
-156.689142,200,44.927961
-120.088473,200,46.856719
-114.598378,200,48.803302
-147.37104,200,50.762091
-85.965961,200,52.777313
-63.256683,200,54.633748
-81.799035,200,56.700584
-114.280964,200,84.024044
-112.291742,200,85.924637
-72.455769,200,88.853739
-98.162397,200,98.638909
-148.713189,200,100.625499
-90.145599,200,102.570768
-73.570496,200,104.46305
-78.441777,200,106.435433
-87.265384,200,132.593822
-99.815483,200,134.532429
-168.09067,200,136.429527
-114.764556,200,162.706843
-97.721948,200,165.782794
-68.363663,200,167.682185
-83.677935,200,169.594852
-120.230812,200,171.479375
-59.846458,200,181.691441
-110.586689,200,183.618186
-109.257868,200,185.632608
-98.867663,200,187.489017
-82.603007,200,213.572421
-51.19633,200,215.591539
-100.306586,200,218.553083
-117.098639,200,226.789647
-99.200037,200,228.692025
-91.879849,200,230.624247
-103.75029,200,232.504038
-85.222344,200,242.621413
-63.632092,200,244.54111
-56.614199,200,246.446382
-80.48133,200,248.45437
-101.291836,200,250.45269
-80.084125,200,254.073375
-77.567535,200,257.009498
-73.730049,200,259.012842
-108.806757,200,260.960803
-73.978545,200,262.971816
-47.627304,200,264.988468
-138.92037,200,267.098972
-81.652804,200,269.094367
-84.604434,200,271.082535
-65.610061,200,281.101237
-70.722732,200,283.209036
-93.878523,200,286.280509
-90.025308,200,296.201077
-57.824996,200,298.239987
-87.967972,200,308.324073
-119.598631,200,310.314843
-100.582539,200,312.192997
-147.23479,200,314.29335
-69.677943,200,316.306581
-75.533118,200,318.375261
-87.338101,200,320.565651
-72.274709,200,323.739644
-82.567696,200,325.637551
-65.380082,200,327.658035
-109.966057,200,329.695999
-67.927923,200,331.720566
-85.918069,200,333.677113
-82.19005,200,335.674272
-53.915719,200,337.631777
-70.370274,200,339.655793
-85.573682,200,341.612329
-136.713573,200,344.794198
-70.917558,200,350.644843
-72.536328,200,360.764125
-56.187479,200,362.674991
-54.903513,200,389.012308
-77.869691,200,391.040937
-89.623824,200,393.092817
-70.733822,200,395.256359
-88.572104,200,405.881694
-90.135359,200,407.94982
-66.824526,200,409.914994
-97.91853,200,412.98135
-153.239666,200,414.951487
-126.857496,200,416.924972
-54.631834,200,427.611133
-116.910685,200,429.573159
-57.099331,200,431.654841
-85.618847,200,433.689629
-63.29231,200,435.767883
-58.38717,200,437.769017
-84.311218,200,439.897531
-85.579073,200,443.025684
-82.235699,200,444.968805
-65.939239,200,447.010758
-154.530304,200,448.941875
-78.227577,200,450.945624
-124.83418,200,454.210733
-96.979804,200,456.133107
-136.517045,200,458.22382
-70.229308,200,460.356353
-107.613433,200,462.439179
-115.447235,200,465.396385
-76.247989,200,467.428855
-84.751836,200,476.738023
-65.487031,200,478.67645
-96.646724,200,480.588365
-89.781655,200,482.49826
-82.324165,200,484.544958
-81.931462,200,486.460439
-67.245344,200,488.556293
-59.191744,200,490.507862
-84.309281,200,497.810791
-108.717744,200,499.917105
-105.379431,200,501.84692
-53.943359,200,503.866581
-65.060685,200,514.15199
-87.645298,200,516.233725
-120.067122,200,544.141392
-101.524766,200,546.252067
-70.110976,200,548.316841
-53.426445,200,576.137081
-103.175761,200,578.153026
-142.568497,200,581.441047
-75.286671,200,583.464451
-72.281101,200,585.632263
-77.300951,200,596.258359
-85.277778,200,598.311435
-40.615228,200,600.459404
-120.405518,200,602.477627
-73.339198,200,604.47876
-58.955989,200,614.91267
-76.130563,200,617.010037
-46.486055,200,620.181
-49.408222,200,622.198693
-66.264462,200,624.24567
-87.500114,200,626.166474
-102.318814,200,628.143183
-100.867338,200,630.090068
-94.230024,200,640.120971
-77.576474,200,642.136012
-58.658251,200,644.164484
-55.41268,200,646.166313
-81.814969,200,657.239941
-61.281892,200,659.266212
-95.57027,200,661.27237
-86.265627,200,663.263404
-54.443755,200,665.417944
-61.081374,200,667.43283
-99.208833,200,669.571154
-112.531573,200,671.590173
-74.463278,200,673.67803
-65.50636,200,684.016735
-45.436988,200,712.391116
-69.870263,200,714.369441
-47.841183,200,716.493697
-70.788374,200,718.516165
-62.98071,200,720.582977
-64.75763,200,722.713081
-63.972586,200,724.713853
-81.737604,200,726.685407
-50.230954,200,736.98345
-58.447157,200,738.92219
-81.734498,200,740.984111
-65.020785,200,752.119842
-76.070279,200,754.073564
-81.911666,200,764.129423
-77.934223,200,766.01703
-65.845523,200,767.945212
-96.624378,200,770.00165
-95.667458,200,772.130539
-40.356367,200,774.136018
-67.499571,200,776.049463
-87.346936,200,778.140603
-67.46234,200,781.207006
-56.695128,200,783.32759
-67.717726,200,785.493886
-63.249234,200,787.791997
-94.682894,200,789.986976
-61.873183,200,792.089234
-43.011627,200,794.131641
-57.750483,200,796.259389
-97.444554,200,798.342563
-65.323953,200,800.44962
-58.49582,200,803.512505
-96.308326,200,805.548599
-98.540673,200,807.564041
-58.562187,200,809.600681
-54.632897,200,811.635963
-101.117869,200,838.538851
-67.401465,200,849.143322
-59.507138,200,851.250401
-88.629038,200,853.333113
-51.304277,200,863.29356
-46.201389,200,866.99663
-60.849565,200,869.139183
-80.693176,200,879.363793
-91.656247,200,881.334489
-59.257146,200,883.270479
-75.022024,200,909.757016
-61.045076,200,920.480417
-37.050038,200,930.811122
-66.744447,200,932.726289
-95.850557,200,934.648434
-60.11106,200,936.647788
-50.904251,200,939.872415
-98.90542,200,966.197234
-64.27349,200,968.102502
-96.183869,200,970.055171
-115.499782,200,979.95739
-59.041626,200,990.142787
-74.443808,200,996.321997
-57.395153,200,1006.301761
-71.433675,200,1008.179644
-78.895029,200,1010.174311
-85.463355,200,1013.270165
-50.54431,200,1015.211828
-65.164206,200,1017.430792
