#{"t_start": 1632072053.076625, "env_id": "ScratchItchJacoHuman-v1"}
r,l,t
-48.687983,200,9.621157
-29.660591,200,17.482067
-117.169557,200,25.537455
-48.285791,200,33.633732
-29.160519,200,41.630278
-67.853369,200,49.719575
-49.461468,200,83.272555
-47.105538,200,91.475547
-33.560327,200,125.510234
-71.877146,200,133.399574
-44.809197,200,142.77542
-24.090507,200,176.348379
-50.625204,200,184.341443
-57.169251,200,193.399556
-81.084688,200,201.04976
-47.51155,200,217.247849
-46.255073,200,225.039377
-33.865557,200,232.654946
-35.202552,200,240.329223
-54.49411,200,256.02715
-45.068743,200,289.878528
-39.549297,200,305.625283
-5.997027,200,321.605999
-31.018681,200,329.657845
-28.244159,200,345.486249
-28.385486,200,353.16589
-56.993438,200,360.878088
-33.544151,200,368.493515
-26.461897,200,376.421453
-32.937778,200,384.330235
-14.094161,200,393.494548
-35.632712,200,426.254942
-62.596156,200,434.120501
-43.778109,200,466.209735
-65.641274,200,473.876686
-37.04866,200,489.691931
-50.744557,200,497.292456
-12.603257,200,504.991882
-36.961695,200,536.899876
-24.012161,200,569.751399
-48.24771,200,578.932708
-31.446351,200,586.915577
-34.770992,200,594.548157
-46.839709,200,610.59355
-26.369436,200,626.633053
-3.384332,200,659.570323
-53.272269,200,667.169934
-26.096545,200,682.941022
-33.843209,200,716.030472
-54.314467,200,723.796179
-52.961498,200,731.66032
-38.899004,200,741.140599
-30.990278,200,757.324445
-24.588958,200,765.064529
29.386566,200,797.8739
17.300933,200,805.420844
-26.050542,200,821.208841
-25.71282,200,828.74791
-34.487123,200,836.645873
-58.930001,200,869.737102
-43.427088,200,877.644902
-58.335064,200,911.150691
-9.154443,200,918.902951
-47.415728,200,926.741619
-12.61219,200,959.020845
-34.729405,200,966.921196
-28.004361,200,974.619727
-49.778434,200,1007.421564
-21.72533,200,1015.214904
-5.433979,200,1022.920105
-35.499996,200,1039.037318
-33.292108,200,1056.384521
-33.409768,200,1089.40579
-20.742729,200,1097.274713
67.809924,200,1104.934526
-25.887628,200,1136.812166
-25.523919,200,1144.643159
-32.492161,200,1160.309682
19.460809,200,1192.411654
-23.868365,200,1200.226799
-30.02165,200,1232.153185
-21.652378,200,1241.026258
49.193017,200,1248.872918
-31.004837,200,1280.990447
-29.916778,200,1313.199133
-37.544543,200,1329.141206
-28.453524,200,1345.223032
-0.653403,200,1352.916393
18.8811,200,1368.733994
29.911164,200,1400.792948
-27.079608,200,1408.695747
-21.595504,200,1416.898854
6.516351,200,1426.524034
-26.887987,200,1434.42085
20.112907,200,1451.309544
2.11207,200,1485.069976
-33.940044,200,1493.20488
-58.05503,200,1509.310692
-29.776438,200,1525.327167
-31.265835,200,1558.158116
-34.292073,200,1590.711652
-34.824053,200,1598.382138
-38.232926,200,1632.566745
-29.873601,200,1664.492142
-16.574253,200,1672.284743
-25.814232,200,1680.131301
-24.482048,200,1687.964408
50.775532,200,1703.709776
-24.302515,200,1718.762704
-28.789143,200,1726.57442
-23.866097,200,1758.520751
27.363187,200,1766.219788
-38.582975,200,1775.38379
-13.619999,200,1807.448259
-33.978799,200,1823.403753
26.012642,200,1831.04889
-68.714486,200,1863.927978
-6.106445,200,1879.978916
-35.303128,200,1887.933269
-43.717465,200,1920.845844
-19.01684,200,1928.58586
33.63362,200,1936.423496
20.014274,200,1945.662571
75.021883,200,1978.386696
-72.836195,200,1986.271727
-29.906469,200,2018.31091
-2.328352,200,2026.01225
7.300919,200,2033.972619
-31.410841,200,2049.891787
-6.328095,200,2057.573183
71.795167,200,2089.851035
-27.273365,200,2121.666688
-62.434307,200,2130.553443
31.401077,200,2139.544728
33.335836,200,2147.309109
7.89705,200,2154.890037
-31.310758,200,2188.023052
22.383819,200,2196.011257
-22.152421,200,2203.925122
-31.033615,200,2211.78593
-33.411814,200,2244.132824
12.5913,200,2251.806
-5.684217,200,2259.449058
