#{"t_start": 1631391081.1246245, "env_id": "ScratchItchJacoHuman-v1"}
r,l,t
-32.578235,200,9.505896
-141.093838,200,17.177038
-54.585805,200,24.753911
-139.969016,200,32.058425
-81.996253,200,39.341262
-67.419397,200,46.814051
-35.640387,200,81.300786
-84.174069,200,89.590859
-23.793208,200,123.998788
-58.598585,200,131.746293
-53.361039,200,140.389698
-77.211792,200,177.532426
-43.813296,200,185.503936
-28.306024,200,194.004373
-15.038111,200,202.132942
-49.337369,200,219.207631
-31.056769,200,226.99226
-42.699916,200,235.364638
-33.484381,200,243.593768
-49.01909,200,257.893918
-25.127049,200,277.53433
-35.02973,200,285.27723
-38.153119,200,303.487569
-54.538598,200,312.125145
-37.604033,200,319.999067
-53.639256,200,327.837671
-99.14415,200,365.360501
-116.499365,200,402.004487
-28.712942,200,409.991779
-10.164037,200,418.367777
-47.676312,200,427.26097
-50.934243,200,461.762568
-19.81835,200,469.053046
-15.044049,200,485.599256
-33.250629,200,493.887961
-18.739146,200,501.612543
-24.758861,200,509.254509
-28.665058,200,543.183734
-82.89065,200,550.565698
-29.864495,200,558.058736
-25.968646,200,566.701001
-56.73016,200,574.173184
-28.109524,200,581.778305
-36.215765,200,615.394304
-33.385125,200,622.596855
-32.348736,200,629.980847
-47.154475,200,637.455689
-27.849582,200,645.109012
-65.908659,200,654.056239
12.257363,200,661.821277
-52.598144,200,695.81076
-16.11417,200,704.588751
-43.847049,200,712.087891
-28.447866,200,719.535318
-37.520729,200,752.661592
-29.527072,200,759.985351
-20.115921,200,792.8053
-48.907938,200,825.493614
-22.966112,200,832.77158
-25.838173,200,839.862012
15.43317,200,872.909307
-24.389055,200,881.52302
-0.296782,200,898.071656
-20.893952,200,905.573259
-26.142899,200,913.162729
-26.310356,200,920.663905
-39.454126,200,928.082142
-35.806473,200,935.714371
-26.131525,200,943.799261
-57.449683,200,979.366155
-59.856866,200,986.694679
-24.771907,200,995.084452
-27.25605,200,1028.757816
-40.474763,200,1036.238636
-37.876972,200,1043.466085
-32.68267,200,1051.084087
1.359023,200,1058.770097
-28.764937,200,1066.717775
-40.101066,200,1074.681114
-17.811484,200,1082.568482
-19.636163,200,1090.510386
-3.040099,200,1099.394231
30.05966,200,1135.466545
-53.717306,200,1152.77705
-30.892698,200,1160.606013
-19.553317,200,1168.457432
25.852586,200,1203.760056
-28.801047,200,1211.201302
10.119008,200,1226.970006
-23.363918,200,1234.292309
-26.994852,200,1241.712333
-4.209605,200,1249.155914
-20.919356,200,1257.676223
-38.484936,200,1265.334381
-49.692102,200,1272.940879
-32.905025,200,1280.354838
-22.781513,200,1287.984573
-14.196112,200,1295.616459
-11.416994,200,1303.436583
42.910647,200,1311.467666
26.021262,200,1319.165094
-6.633879,200,1353.457461
-19.920396,200,1362.194475
-29.373028,200,1369.783674
-22.496647,200,1377.305667
-26.262098,200,1410.313489
-54.370593,200,1417.761612
-44.278549,200,1450.641775
-33.522499,200,1483.217946
-26.41741,200,1490.503775
-27.66348,200,1498.064667
-25.38612,200,1505.813439
-24.883197,200,1514.461616
-29.869273,200,1550.396746
-40.891837,200,1558.211049
-10.589934,200,1574.468053
24.632809,200,1581.941363
21.879496,200,1589.330308
-37.683759,200,1622.488063
-30.578221,200,1630.507536
-32.641091,200,1638.060522
-57.795819,200,1671.532061
-27.266167,200,1679.76768
-24.390617,200,1712.600195
-26.270179,200,1720.101783
16.30106,200,1727.652774
-38.805057,200,1735.039665
-38.215829,200,1751.296379
-25.22048,200,1759.200701
-17.588091,200,1766.905466
38.266133,200,1783.366903
-11.068679,200,1790.980503
-29.495132,200,1807.340981
-22.942528,200,1840.928131
-4.956388,200,1872.920035
-90.639895,200,1880.189555
-34.188971,200,1912.438816
22.87214,200,1944.437362
-17.409121,200,1951.797711
-28.261912,200,1967.660961
17.482551,200,1975.500006
-17.643024,200,1982.938416
-33.186362,200,1990.261591
1.633604,200,1999.794563
-26.539742,200,2007.231336
-48.106701,200,2014.358997
-35.64904,200,2021.974033
7.711377,200,2056.101208
-23.987018,200,2089.22788
-45.200595,200,2105.129962
-21.556845,200,2140.274103
-5.320118,200,2174.748181
-25.967642,200,2182.576932
5.871262,200,2218.686964
-58.844842,200,2253.360497
9.595882,200,2260.84013
-18.097815,200,2295.163364
-26.491576,200,2302.546827
32.951098,200,2319.187761
-17.97525,200,2326.838014
-28.028652,200,2334.423786
-35.057879,200,2341.78271
-28.854154,200,2349.323732
-24.677636,200,2357.745182
-22.66576,200,2365.147802
-23.825022,200,2372.684307
-7.017941,200,2380.33481
-30.697112,200,2388.181995
14.148254,200,2395.948321
0.463381,200,2403.420565
-23.395015,200,2411.069965
-9.417025,200,2444.840126
-28.658237,200,2452.133932
5.020332,200,2459.546695
49.360557,200,2468.061331
7.418774,200,2501.555067
-31.730237,200,2518.102269
-28.402136,200,2551.68605
-29.195408,200,2559.268612
-26.990309,200,2592.444701
-25.322345,200,2599.662023
67.91079,200,2606.973856
-16.016656,200,2614.751528
68.388037,200,2647.880472
-69.15403,200,2682.006055
-50.330089,200,2698.287252
-23.367903,200,2705.669161
-33.256316,200,2713.418953
37.79772,200,2729.657844
-35.141659,200,2763.023201
17.774198,200,2795.900674
-31.768568,200,2811.894845
-13.09657,200,2819.192623
-7.135502,200,2826.592134
-9.348394,200,2835.295997
69.588846,200,2842.82155
-31.081666,200,2850.590186
-22.03821,200,2858.628828
-31.207963,200,2866.693258
-18.732399,200,2874.979552
-7.131046,200,2882.898811
-1.689337,200,2890.54216
29.160998,200,2925.357644
-24.514178,200,2932.889519
1.174477,200,2941.588425
34.404207,200,2975.901763
54.044432,200,2983.794499
39.476501,200,2991.702599
-21.996299,200,2999.58043
-22.122063,200,3007.281528
-18.662795,200,3015.561608
-19.959646,200,3050.562641
-21.50809,200,3058.096637
-24.018253,200,3065.516984
-27.073139,200,3081.946072
-42.90683,200,3090.535175
-48.671537,200,3124.449454
-6.652744,200,3157.628386
-45.876708,200,3165.191546
15.147092,200,3172.834408
37.644191,200,3180.550942
79.441051,200,3216.571415
-27.600608,200,3224.167546
-21.701801,200,3231.641624
-34.865092,200,3247.919573
4.343398,200,3282.378112
-11.620768,200,3315.55013
-25.977402,200,3348.769916
-32.107398,200,3356.128991
-24.606409,200,3363.681771
-31.193888,200,3371.243289
-32.49409,200,3379.665292
-25.828324,200,3387.961142
-38.285315,200,3396.307387
-4.484802,200,3404.499061
68.313709,200,3414.092726
17.936352,200,3450.193527
-36.39417,200,3483.865853
-45.440723,200,3517.348179
-27.048914,200,3550.846758
-23.798146,200,3558.162505
20.831889,200,3565.756211
36.814913,200,3573.482689
-35.930583,200,3609.534043
-27.771522,200,3616.829581
16.024317,200,3625.436157
-36.813797,200,3659.867233
64.348787,200,3667.604131
46.433824,200,3683.97017
46.075936,200,3708.777852
45.432654,200,3716.291766
-25.072058,200,3723.868405
55.401445,200,3731.561948
-32.254361,200,3748.517323
12.405005,200,3756.31645
-35.667777,200,3790.369329
-4.131244,200,3798.790335
-26.907409,200,3832.566119
-28.709739,200,3848.979736
9.131145,200,3882.530586
-8.800969,200,3890.165412
-32.306702,200,3923.606723
11.371828,200,3931.061734
-13.345276,200,3939.843982
-4.922197,200,3947.169928
11.747381,200,3980.909597
24.349597,200,3989.696509
49.089186,200,3997.356095
-32.543141,200,4005.061486
-29.061705,200,4012.946685
-34.689864,200,4020.403552
-36.253491,200,4028.075579
-31.733051,200,4035.837493
-10.021544,200,4044.097358
-29.920798,200,4081.023241
1.43787,200,4089.043232
33.017419,200,4126.11961
-0.305283,200,4143.057389
21.563248,200,4150.928736
-25.966539,200,4158.74079
-5.328675,200,4166.776193
100.414105,200,4202.88745
-28.939212,200,4210.862677
-37.34482,200,4246.458861
-23.486086,200,4254.430739
-24.880087,200,4262.551948
-27.49577,200,4289.55988
-22.946658,200,4297.159537
-28.657351,200,4304.633749
-33.434195,200,4338.870406
-20.978382,200,4372.602461
-23.278151,200,4404.881117
-19.447981,200,4412.164459
-6.576679,200,4419.796846
-82.238063,200,4427.163841
39.354619,200,4460.094555
11.224381,200,4494.15385
-22.397803,200,4501.28582
108.201028,200,4508.62104
23.539116,200,4515.829896
-24.772297,200,4523.512351
7.290615,200,4531.20425
-7.325718,200,4538.713773
52.4558,200,4573.477974
-30.9727,200,4580.795082
-19.510309,200,4588.2372
39.926009,200,4604.679915
37.159278,200,4638.846373
-58.144657,200,4649.536745
-23.24035,200,4657.361039
39.40245,200,4665.045098
-26.975513,200,4681.294246
-34.433283,200,4714.614615
38.758925,200,4722.180853
75.266941,200,4729.608282
-0.885707,200,4737.101201
3.948067,200,4744.864007
-19.937016,200,4753.578569
-35.746715,200,4770.745534
-27.503039,200,4778.972636
6.457316,200,4787.02378
11.208991,200,4794.421453
-26.024874,200,4802.113488
-23.450984,200,4813.064972
33.453428,200,4821.394977
35.492471,200,4829.619715
-24.103353,200,4837.589828
-43.812327,200,4872.618623
23.491184,200,4881.200713
-24.935575,200,4889.612967
-22.943584,200,4897.881145
74.204394,200,4906.04638
-22.53489,200,4914.214257
-20.684314,200,4932.076383
32.25177,200,4939.95021
-26.205664,200,4948.037603
-30.747113,200,4965.087538
-25.495077,200,4973.517592
7.631856,200,4981.191884
37.064097,200,5017.631085
-13.676439,200,5025.19118
-12.969629,200,5041.737291
-21.803996,200,5049.410663
-36.845375,200,5065.830843
-19.851694,200,5073.425467
-18.235266,200,5081.049546
74.510147,200,5088.769161
-25.310863,200,5105.133001
-30.494517,200,5113.725641
-26.927763,200,5121.483842
-20.974194,200,5128.971355
6.011932,200,5145.840792
-28.685471,200,5154.271755
-23.322488,200,5162.266926
-24.789605,200,5179.361028
-19.698006,200,5214.263243
-30.496142,200,5221.596047
20.980859,200,5229.166478
-4.486724,200,5238.319088
-37.935332,200,5245.968766
64.470371,200,5263.11139
0.656549,200,5271.242215
-22.818549,200,5279.644315
23.362675,200,5287.790249
-3.566136,200,5295.954627
21.255767,200,5331.810077
-26.459519,200,5367.912286
51.498912,200,5385.290586
39.282806,200,5394.35296
-33.853984,200,5402.295966
35.579086,200,5436.483941
-16.481514,200,5444.0753
-34.68487,200,5476.912726
