#{"t_start": 1631990203.7842464, "env_id": "ScratchItchJacoHuman-v1"}
r,l,t
-53.559943,200,11.153239
-12.099193,200,18.792752
-64.070444,200,26.526015
-102.491491,200,34.236538
-70.968365,200,41.839371
-41.437079,200,49.559168
-32.064805,200,82.235409
-110.748189,200,90.107037
-40.126166,200,122.912063
-29.5343,200,130.474782
-29.741528,200,139.472652
-46.982229,200,171.997429
-74.801076,200,179.714734
-63.296586,200,187.668441
-32.780489,200,195.33212
-62.52568,200,211.441651
-40.66797,200,219.17591
-42.183025,200,226.758575
-31.598104,200,234.440973
-50.272113,200,250.420123
-34.432204,200,284.451992
-39.574748,200,300.364607
-35.673646,200,316.418266
-26.32796,200,324.373931
-39.66339,200,340.25235
-31.545465,200,348.031488
-51.767014,200,355.634101
-33.914721,200,363.260649
-37.230427,200,371.07699
-66.62105,200,379.019387
-12.955422,200,388.205073
-26.278324,200,420.723548
-47.510486,200,428.523631
-44.394486,200,461.183048
-37.685694,200,468.839515
-26.021619,200,484.854639
-51.604531,200,492.509039
-4.482867,200,500.183459
-27.338269,200,532.717213
22.64312,200,565.461434
15.604774,200,574.793472
-44.255337,200,582.683313
-31.614632,200,590.393187
-71.678829,200,606.500443
-39.460043,200,622.385389
-35.562073,200,654.81312
-38.971966,200,662.474574
-17.07276,200,678.537498
-35.556923,200,711.228042
-2.336165,200,718.994004
-57.498392,200,726.873874
-50.474432,200,736.197497
-29.119098,200,752.365114
-6.386141,200,760.207562
7.813855,200,792.552651
55.968663,200,800.100481
21.309689,200,816.00666
-26.018483,200,823.615349
-25.792222,200,831.380549
-54.379847,200,862.928089
37.829698,200,870.771351
-54.601286,200,904.162154
-25.980815,200,911.850128
-52.108509,200,919.490415
-26.729244,200,951.443673
-33.960594,200,959.286118
-32.453774,200,967.06707
-55.617253,200,998.926238
-11.571034,200,1006.723062
-27.141553,200,1014.427539
-30.889869,200,1030.316909
-30.082313,200,1047.490147
-10.776008,200,1079.5526
6.488091,200,1087.285781
32.68895,200,1094.988077
-19.150451,200,1127.160168
-29.175635,200,1134.737834
-31.114555,200,1150.363153
0.13907,200,1182.269721
-23.902219,200,1190.206181
-35.146126,200,1222.628171
-24.573768,200,1231.597724
56.500788,200,1239.377717
-25.019963,200,1271.486873
-30.628229,200,1303.56489
-13.560294,200,1319.237091
-31.527946,200,1335.173931
56.837072,200,1342.908904
-13.792058,200,1358.580589
