#{"t_start": 1631151109.8492749, "env_id": "ScratchItchJacoHuman-v1"}
r,l,t
-120.722928,200,1.801805
-74.320968,200,3.558892
-61.888887,200,5.6383
-126.36378,200,7.383479
-74.659987,200,9.247749
-133.287194,200,19.90664
-101.768703,200,22.507573
-158.79754,200,24.311578
-71.037944,200,26.140143
-116.499927,200,27.953493
-115.034295,200,30.417778
-60.101142,200,32.309434
-73.648813,200,34.145764
-97.866318,200,44.82218
-127.424768,200,46.56354
-101.722359,200,48.293221
-146.346206,200,50.050118
-85.795444,200,51.816767
-54.38093,200,53.649873
-86.813866,200,65.069157
-71.681643,200,67.5149
-125.049508,200,78.118442
-82.973831,200,79.837905
-51.732627,200,81.60895
-144.227514,200,83.394601
-71.706167,200,85.179288
-93.672307,200,96.056114
-62.144524,200,97.922923
-81.534358,200,99.680223
-109.3431,200,101.479231
-94.444662,200,103.935389
-67.698454,200,105.695299
-51.933527,200,107.452047
-88.486515,200,109.315074
-71.347983,200,111.073487
-69.806853,200,113.019705
-55.394525,200,114.814127
-81.438597,200,116.681053
-55.976577,200,118.44795
-67.385172,200,120.264153
-69.375653,200,122.738338
-54.607556,200,133.390716
-62.416275,200,135.119618
-71.012313,200,145.952282
-41.87124,200,147.713811
-66.909568,200,149.605021
-99.221848,200,160.685142
-69.018247,200,162.637934
-54.623587,200,174.589405
-55.91078,200,186.155678
-68.317553,200,188.166851
-55.649426,200,191.25932
-66.404722,200,193.282061
-59.872713,200,195.287093
-97.667619,200,197.323182
-80.606258,200,199.447664
-76.701789,200,202.239934
-88.448964,200,204.200479
-81.018569,200,206.33689
-93.936921,200,218.735847
-78.003747,200,220.776617
-75.377092,200,223.639028
-76.624787,200,225.77239
-90.152173,200,237.276488
-68.321782,200,239.171165
-54.236288,200,249.921559
-76.486934,200,251.865892
-76.237458,200,262.629226
-64.949486,200,264.455124
-57.884936,200,266.361786
-58.125166,200,268.164118
-99.28666,200,270.579955
-69.557001,200,272.455685
-66.69703,200,274.275774
-82.808777,200,276.092218
-56.317802,200,277.992932
-159.15103,200,279.763621
-70.74717,200,283.271077
-92.178654,200,285.173321
-67.992856,200,287.029265
-48.288242,200,288.898569
-72.836674,200,291.40086
-78.311207,200,293.287407
-52.785129,200,295.147649
-91.837347,200,296.960134
-90.757751,200,298.920741
-54.691855,200,300.812745
-80.00889,200,302.709389
-74.280444,200,305.346674
-103.220773,200,307.250942
-66.53826,200,309.145896
-70.360061,200,311.01575
-54.181956,200,313.592116
-67.284221,200,315.532383
-65.455698,200,317.447726
-57.436762,200,319.34467
