#{"t_start": 1631223968.273226, "env_id": "ScratchItchJacoHuman-v1"}
r,l,t
-89.366282,200,1.77329
-93.585628,200,3.491685
-77.240769,200,5.283858
-74.645775,200,7.064946
-92.331879,200,8.838839
-95.77627,200,10.629111
-100.583883,200,12.46654
-157.860956,200,14.227168
-137.759212,200,15.916576
-64.054475,200,17.691319
-112.066485,200,20.060365
-87.466336,200,21.915155
-107.605698,200,32.6999
-122.298345,200,34.449065
-207.537894,200,36.178328
-83.849551,200,37.964081
-127.090455,200,39.657539
-125.112071,200,41.349233
-106.741316,200,52.004372
-52.813362,200,53.80494
-118.164449,200,64.986886
-70.676489,200,66.750014
-55.165535,200,68.56383
-72.173829,200,70.262984
-117.251468,200,80.958954
-106.702463,200,82.803524
-92.548294,200,84.540786
-92.94541,200,86.368604
-60.716811,200,97.206975
-83.625624,200,98.982303
-57.844632,200,101.305159
-84.386199,200,103.045765
-66.511754,200,113.690478
-67.970497,200,115.50159
-57.730431,200,117.253653
-119.027198,200,119.116984
-63.094517,200,120.960443
-56.943251,200,122.732246
-96.280489,200,133.456417
-100.592898,200,135.219165
-48.002186,200,146.494433
-57.000289,200,148.252543
-96.777317,200,150.199079
-70.067191,200,151.983722
-58.223342,200,159.304703
-65.475051,200,161.102637
-98.699638,200,162.88377
-78.167464,200,164.710738
-93.550625,200,166.537565
-62.629161,200,177.323689
-70.547039,200,179.127488
-129.801336,200,181.484196
-79.154082,200,192.284952
-62.377951,200,194.13264
-61.339156,200,195.86271
-69.187418,200,197.732111
-74.993976,200,199.573238
-65.318604,200,201.433632
-119.964955,200,203.263763
-86.259605,200,204.977803
-92.991655,200,215.641058
-74.344331,200,226.942246
-67.399085,200,228.818629
-68.340921,200,230.699202
-74.452639,200,232.527582
-79.934995,200,234.380346
-80.381766,200,236.159268
-74.349164,200,246.891822
-90.969051,200,248.645442
-109.72787,200,259.422787
-80.275935,200,261.187607
-96.031204,200,272.468397
-89.559404,200,274.294236
-94.822907,200,276.018798
-85.064875,200,277.788149
-74.733265,200,279.572828
-61.292991,200,281.419321
-67.441278,200,292.283405
-91.947986,200,294.134702
-58.404428,200,295.996207
-56.870602,200,297.871763
-83.940563,200,300.21141
-87.087936,200,310.921106
-91.94131,200,312.636621
-53.622575,200,314.451783
-60.035383,200,325.392104
-65.923405,200,327.355709
-60.490174,200,329.099476
-132.101548,200,330.809435
-84.295831,200,332.656021
-58.64871,200,334.472189
-69.980618,200,336.372125
-51.930817,200,338.819689
-64.342051,200,340.547843
-94.769242,200,342.380987
-98.214394,200,344.139667
-53.122242,200,345.947099
-88.934626,200,356.842601
-58.841781,200,358.647698
-61.306727,200,369.428138
-65.443145,200,371.187831
-72.521176,200,373.036827
-71.080422,200,375.399321
-110.411285,200,377.112794
-65.541484,200,378.864428
-61.047852,200,380.813682
-66.078389,200,382.66484
-119.713411,200,384.475794
-106.421088,200,386.345727
-79.958293,200,388.093195
-90.804102,200,389.836837
-70.305445,200,391.758666
-63.08414,200,394.20087
-68.897583,200,404.827714
-66.66594,200,406.563033
-118.771306,200,417.499035
-56.073435,200,419.33347
-39.56217,200,430.006699
-69.65825,200,431.797926
-108.391068,200,433.638375
-76.460964,200,435.402744
-82.739056,200,446.253515
-86.282698,200,448.718452
-52.08598,200,450.46416
-45.373738,200,452.255963
-113.24564,200,454.003778
-52.485974,200,464.714577
-77.973471,200,466.547959
-55.213243,200,468.340881
-51.226148,200,470.217226
-69.077003,200,472.079073
-81.898096,200,473.947419
-67.8339,200,475.783548
-56.077439,200,478.542486
-73.120467,200,480.467292
-74.185141,200,482.306742
-79.832185,200,484.194669
-77.70884,200,485.957296
-81.544522,200,487.870732
-80.731811,200,489.66338
-107.318807,200,500.593159
-53.19206,200,511.526167
-47.802656,200,513.300128
-66.048416,200,515.684633
-69.661391,200,517.592639
-75.337141,200,519.420784
-73.283677,200,530.054426
-97.300865,200,531.959724
-49.752359,200,542.585807
-89.204908,200,544.271413
-62.358035,200,546.170047
-71.52275,200,556.865659
-49.447697,200,558.611117
-81.86312,200,560.987623
-33.645475,200,562.73306
-45.505105,200,573.680318
-56.871729,200,575.491837
-72.975213,200,577.367769
-76.609168,200,579.232182
-43.00315,200,581.091098
-49.587077,200,582.863378
-86.932738,200,584.692844
-53.594386,200,586.489526
-63.86205,200,594.323022
-83.726394,200,596.096357
-108.178237,200,606.848631
-70.110153,200,608.588787
-131.329418,200,619.427551
-69.047246,200,630.115263
-48.606663,200,631.864835
-70.865746,200,633.791415
-90.283787,200,635.551115
-89.88298,200,637.399256
-68.672033,200,639.292959
-77.779413,200,641.814689
-63.488238,200,643.649451
-69.942862,200,645.430079
-77.662437,200,647.316804
-71.020295,200,649.138888
-66.338458,200,660.099274
-59.591117,200,661.840223
-92.206284,200,663.599274
-55.383124,200,665.334194
-60.874576,200,675.969186
-66.173574,200,678.374802
-73.613488,200,680.191945
-61.659717,200,682.135421
-49.862044,200,685.374601
-85.409566,200,687.108956
-52.346133,200,688.869041
-62.4269,200,690.758916
-61.746053,200,692.646429
-60.219422,200,694.484237
-78.896672,200,696.401236
-71.943719,200,698.918362
-77.652129,200,700.748119
-52.586295,200,702.538262
-104.797667,200,704.374172
-63.992412,200,706.222403
-41.250283,200,708.059363
-98.410366,200,709.905215
-74.101667,200,718.382082
-72.104541,200,720.188825
-85.028189,200,722.035559
-91.832024,200,724.401747
-78.182866,200,726.219241
-86.613096,200,728.066747
-52.900554,200,738.83889
-57.868089,200,740.735246
-81.099622,200,742.618898
-68.99,200,744.555817
-97.284462,200,755.330508
-50.50498,200,757.137349
-58.163463,200,767.878781
-90.724495,200,769.725265
-55.704684,200,772.15804
-102.278079,200,774.05688
-69.147495,200,784.761075
-65.555601,200,786.618368
-63.837252,200,788.450514
-64.738325,200,790.274199
-70.299591,200,792.164852
-75.348324,200,793.982546
-80.801828,200,804.874529
-59.83926,200,815.580451
-67.266961,200,818.036952
-91.862186,200,819.842552
-71.765117,200,821.602407
-79.919779,200,832.430471
-83.125178,200,834.30091
-45.604302,200,836.065477
-49.580692,200,846.935906
-49.912324,200,848.812007
-59.944322,200,850.692058
-78.495705,200,852.496242
-62.911678,200,863.84492
-53.798572,200,865.632418
-90.643885,200,867.42503
-38.955076,200,878.02118
-55.020531,200,888.784457
-97.05215,200,890.810208
-53.273577,200,892.665883
-64.695079,200,894.460513
-58.876696,200,896.212815
-82.951358,200,898.085531
-41.422895,200,900.437977
-77.379709,200,911.233477
-56.75556,200,913.106599
-102.170465,200,915.008426
-71.451706,200,916.858593
-15.786511,200,918.8153
-78.727635,200,920.726351
-58.723796,200,922.49515
-63.356964,200,924.251625
-64.530145,200,926.015773
-73.125372,200,936.695679
-77.910371,200,939.152039
-70.760795,200,941.074114
-53.850297,200,942.889194
-57.372279,200,944.634507
-69.356439,200,946.491127
-67.06463,200,948.39322
-62.175004,200,959.296777
-50.770094,200,961.0302
-61.051054,200,962.870383
-70.22115,200,966.211819
-76.430604,200,977.633503
-65.657243,200,979.56031
-61.567216,200,981.450378
-67.884967,200,983.351577
-54.457938,200,985.179261
-71.985394,200,987.088141
-70.41865,200,988.950048
-86.605547,200,990.715744
-62.0671,200,992.527847
-55.840994,200,994.360814
-65.55188,200,1005.625078
-71.15854,200,1007.509621
-51.435853,200,1009.345725
-73.552599,200,1011.261722
-75.902874,200,1013.10183
-47.955336,200,1014.85518
-49.508478,200,1016.637035
-55.344408,200,1027.480466
-60.343137,200,1029.395196
-82.968628,200,1031.297412
-76.025666,200,1042.660547
-90.839104,200,1044.486562
-47.382994,200,1046.267635
-58.678901,200,1057.187791
-56.473816,200,1058.933862
