#{"t_start": 1631391502.2514315, "env_id": "ScratchItchJacoHuman-v1"}
r,l,t
-69.116527,200,3.747178
-69.364373,200,5.912403
-110.357067,200,8.074593
-92.380682,200,10.228871
-94.174658,200,12.299372
-65.296143,200,14.458863
-84.478651,200,41.527528
-95.05845,200,43.85438
-132.591238,200,71.428635
-69.309933,200,73.447226
-111.490893,200,76.821299
-108.788251,200,104.06109
-95.699549,200,106.16844
-97.999842,200,108.678785
-52.248505,200,110.832984
-128.715978,200,121.508017
-88.825114,200,123.655235
-74.454062,200,125.787523
-74.668094,200,127.934768
-56.047576,200,138.437653
-82.407353,200,166.916614
-108.778831,200,177.398527
-105.82518,200,187.875482
-98.179799,200,190.335862
-114.555547,200,200.827796
-110.497988,200,203.043971
-73.722433,200,205.202262
-88.468794,200,207.23979
-58.276687,200,209.565587
-81.200063,200,211.909367
-103.263499,200,215.528994
-54.210138,200,242.718688
-141.964735,200,244.972746
-87.100003,200,272.701531
-41.207603,200,274.92758
-72.777505,200,285.583088
-52.421598,200,287.699467
-57.7884,200,289.837787
-109.268822,200,316.908467
-85.061382,200,344.277407
-91.584454,200,347.96463
-160.557543,200,350.276484
-58.529095,200,352.363881
-111.999109,200,362.988433
-79.752482,200,373.403498
-68.800426,200,400.634707
-85.900819,200,402.657269
-110.581251,200,413.20699
-108.434704,200,440.523008
-56.000178,200,442.738113
-89.8927,200,445.140648
-79.582869,200,448.914537
-91.189226,200,459.577982
-58.317862,200,461.831965
-107.208307,200,489.069803
-107.434311,200,491.282949
-62.79793,200,501.897536
-87.679325,200,504.115615
-71.956373,200,506.544093
-105.361668,200,533.631611
-131.434712,200,535.95041
-63.580566,200,564.606726
-65.595096,200,566.872657
-83.107723,200,569.138631
-67.6871,200,596.767791
-91.821376,200,599.122511
-85.074599,200,601.319682
-63.061499,200,628.984985
-58.959078,200,631.346777
-53.448454,200,633.630624
-81.884674,200,644.138469
-81.03776,200,656.002711
-68.237228,200,683.296795
-66.969508,200,685.640526
-55.15561,200,687.836662
-56.575855,200,715.279835
-81.200552,200,717.432067
-101.587792,200,727.84018
-62.279488,200,755.030712
-75.13197,200,757.379441
-69.53802,200,784.469195
-66.468466,200,787.954856
-51.308234,200,790.220829
-95.754276,200,817.698422
-68.735926,200,845.349425
-36.489168,200,856.04485
-68.359546,200,866.584613
-104.302841,200,868.813641
-104.784287,200,879.165931
-94.912753,200,906.412941
-92.252515,200,908.551786
-61.595452,200,910.88453
-89.18028,200,914.62052
-52.68851,200,916.815639
-60.829549,200,927.533921
-49.834197,200,954.703657
-61.704667,200,956.94166
-63.641139,200,967.439538
-47.763987,200,977.982367
-76.487233,200,1004.944674
-74.085035,200,1032.27061
-71.450723,200,1034.490633
-63.011064,200,1063.301452
-64.335676,200,1090.379997
-38.07994,200,1092.572121
-55.478512,200,1094.960721
-41.45527,200,1097.308437
-89.811019,200,1107.774392
-71.579554,200,1117.586103
-27.19873,200,1119.962735
-72.756699,200,1147.017278
-57.911959,200,1149.20342
-74.54395,200,1152.824718
-99.404105,200,1179.989263
-68.20488,200,1190.430266
-72.085205,200,1192.626382
-87.465651,200,1219.740762
-60.565933,200,1230.429145
-71.980062,200,1232.839657
-75.136916,200,1260.163465
-83.733315,200,1262.361576
-51.531297,200,1264.575643
-97.702045,200,1268.279718
-104.303131,200,1296.055811
-110.22124,200,1298.471349
-144.642602,200,1326.197619
-52.727281,200,1328.444599
-130.952932,200,1330.759397
-79.979225,200,1341.246305
-60.594327,200,1343.331717
-126.097093,200,1370.584882
-89.397825,200,1397.926737
-75.208893,200,1401.397516
-66.437716,200,1404.904109
-92.579139,200,1407.232858
-85.621421,200,1409.301316
-39.054604,200,1436.523405
-55.866145,200,1438.866128
-51.899715,200,1441.17594
-71.500946,200,1443.593463
-67.580422,200,1470.821572
-79.702603,200,1473.034649
-73.620338,200,1475.214843
-66.372118,200,1478.783375
-68.255867,200,1506.159116
-60.485124,200,1508.367409
-91.518692,200,1535.946634
-52.852228,200,1538.187601
-68.597905,200,1548.670514
-72.69712,200,1550.903532
-84.301744,200,1553.179434
-79.27003,200,1580.163293
-85.807754,200,1582.525008
-68.007842,200,1594.570734
-102.50484,200,1604.975875
-55.956173,200,1607.130238
-85.436483,200,1634.430321
-61.224036,200,1636.773131
-57.309219,200,1664.388368
-104.455991,200,1666.63239
-92.962801,200,1668.92724
-139.250283,200,1679.698476
-83.234179,200,1706.731033
-43.778942,200,1710.663511
-84.173993,200,1721.119523
-62.960929,200,1723.308658
-58.674297,200,1733.648954
-63.233314,200,1735.937851
-107.203595,200,1746.430824
-50.040405,200,1748.76757
