#{"t_start": 1632118643.6255383, "env_id": "ScratchItchJacoHuman-v1"}
r,l,t
-93.213589,200,12.04457
-62.498722,200,14.993376
-90.757455,200,17.127601
-58.545219,200,19.175249
-69.398532,200,21.202354
-127.184665,200,23.26751
-82.873928,200,48.411594
-109.811338,200,50.56
-73.330301,200,76.014332
-111.153694,200,77.853818
-98.002062,200,80.770273
-66.135995,200,106.084888
-99.889223,200,107.994955
-47.882152,200,110.223176
-57.554463,200,112.172885
-123.695157,200,122.003272
-92.806757,200,123.944151
-73.395713,200,125.919835
-98.203408,200,127.975527
-61.017401,200,134.712037
-68.068363,200,145.978797
-90.477414,200,147.87688
-81.808493,200,157.995686
-78.012172,200,160.299024
-65.872821,200,162.197852
-84.462674,200,164.124648
-104.01546,200,190.30855
-124.04168,200,216.43975
-83.806814,200,218.426283
-55.463163,200,220.599011
-95.254134,200,223.620897
-64.941456,200,249.641876
-83.983316,200,251.525411
-60.337909,200,261.843318
-70.333955,200,264.558869
-106.422477,200,266.793683
-88.126653,200,268.826225
-65.568925,200,293.995103
-99.282853,200,295.953119
-92.433876,200,297.943512
-63.656169,200,300.970477
-70.59718,200,302.933635
-54.995596,200,305.05296
-100.72219,200,329.803551
-47.950762,200,331.676101
-88.841174,200,333.708149
-79.441514,200,335.771775
-80.51563,200,337.761276
-91.074173,200,340.809913
-64.736192,200,342.954452
-61.414224,200,368.112628
-61.909629,200,371.098037
-81.419839,200,373.247535
-64.533763,200,375.324615
-100.435736,200,400.330335
-71.167524,200,402.307388
-60.194102,200,427.776277
-89.330137,200,453.120996
-57.592054,200,455.179597
-93.752051,200,457.076071
-98.993541,200,483.373084
-55.414099,200,486.483993
-28.998763,200,496.617389
-48.834946,200,498.637655
-47.108185,200,500.824971
-54.270717,200,502.970822
-66.625087,200,504.994797
-50.93706,200,507.103785
-62.456427,200,509.271951
-108.897282,200,534.765231
-84.285214,200,536.716516
-62.824129,200,539.597165
-153.317135,200,564.546844
-74.423024,200,566.544815
-69.039958,200,568.397764
-79.918251,200,570.581511
-85.355315,200,572.599573
-97.989944,200,574.685175
-57.141272,200,576.7576
-54.433658,200,578.814039
-82.255461,200,581.057064
-48.342417,200,584.148274
-45.115107,200,610.383583
-54.798686,200,620.657943
-46.287191,200,622.71489
-29.563812,200,624.784809
-75.818456,200,650.961064
-76.444844,200,652.945269
-46.362722,200,662.890049
-47.895353,200,664.863088
-55.568235,200,666.917242
-65.379343,200,668.96188
-52.644998,200,672.016949
-83.357686,200,674.032226
-54.850766,200,676.053312
-66.341182,200,677.931827
-67.10477,200,679.936097
-72.673453,200,681.88513
-57.974036,200,684.0327
-73.665307,200,686.226983
-74.252614,200,688.127329
-52.901478,200,713.450856
-74.426631,200,716.675663
-69.528639,200,718.692626
-40.297704,200,720.725536
-54.725304,200,745.56244
-55.33142,200,747.577729
-75.546497,200,772.614923
-119.395848,200,797.433442
-55.306813,200,799.306904
-55.084455,200,801.378964
-67.072287,200,803.597588
-47.922283,200,806.788354
-74.488629,200,833.170789
-56.18749,200,835.419146
-52.948242,200,845.592048
-51.677718,200,847.662689
-55.293368,200,849.799571
-60.076463,200,876.405147
-75.956933,200,878.620307
-63.435098,200,880.562739
-172.519022,200,906.700118
-80.493501,200,909.673791
