#{"t_start": 1632030033.428877, "env_id": "ScratchItchJacoHuman-v1"}
r,l,t
-86.73965,200,5.702108
-60.821747,200,10.871208
-58.162629,200,15.828011
-104.525974,200,20.717424
-54.450132,200,25.554919
-62.972692,200,30.577755
-46.725459,200,63.068023
-57.022711,200,68.129767
-28.745591,200,101.212553
-46.119459,200,106.07354
-28.0723,200,111.506053
-21.85758,200,143.953436
-72.227036,200,148.804203
-83.946914,200,153.976097
-3.796199,200,158.862891
-57.6302,200,173.300042
-37.549835,200,178.16897
-39.503601,200,183.033502
-48.172449,200,187.882881
-30.459677,200,201.940265
-31.641762,200,235.02915
-0.792485,200,249.145302
-3.842209,200,263.304737
-33.590072,200,268.446153
-29.269846,200,282.594664
-40.467581,200,287.785199
-43.334411,200,292.698219
-109.44219,200,297.540468
3.958112,200,302.561231
-32.844137,200,307.623168
-18.972056,200,313.220484
-31.285073,200,345.999418
-44.905124,200,350.914497
-11.518639,200,383.532066
-63.209566,200,388.562235
-5.696462,200,402.717277
-33.546692,200,407.652765
-4.463751,200,412.548147
-7.346795,200,444.783851
-9.716074,200,477.27581
-31.453449,200,482.978441
-44.99497,200,488.021928
-31.255326,200,492.829289
-32.985414,200,507.119991
-31.773127,200,521.200614
-26.577222,200,553.934586
-53.22008,200,558.723532
-11.771273,200,573.004225
-11.781059,200,606.320763
-31.990909,200,611.242062
-39.615268,200,616.326504
-34.638083,200,621.973897
-30.658678,200,636.197734
-21.196038,200,641.321735
-40.876959,200,673.934974
23.261213,200,678.889751
-37.029104,200,693.014669
-26.418604,200,697.926867
-23.536066,200,702.980762
-37.825096,200,735.39131
24.19206,200,740.501312
-43.96737,200,773.480036
-26.748603,200,778.437026
-44.45198,200,783.472391
-58.630816,200,815.831889
-31.561124,200,820.911012
-28.317273,200,825.894729
-54.485976,200,857.967982
-28.377562,200,862.989736
-25.400501,200,867.938722
-55.878981,200,882.109959
-23.220702,200,896.829382
-25.499748,200,929.228318
36.346442,200,934.433041
32.869026,200,939.361939
-30.755182,200,971.649528
6.10388,200,976.584855
17.561138,200,990.495051
-14.873065,200,1022.893915
-21.903775,200,1028.15562
-9.591821,200,1060.533517
30.033951,200,1093.452645
32.086087,200,1098.455646
-23.454249,200,1103.366317
26.427247,200,1108.299114
-9.398065,200,1140.496861
-27.125133,200,1145.412703
-11.262166,200,1150.323496
-26.388775,200,1155.220661
-29.681569,200,1160.100548
-68.409351,200,1192.459477
-46.43612,200,1224.589333
-30.511693,200,26810.844537
-29.300686,200,26815.826186
-75.878525,200,40709.365199
-36.106019,200,40714.460773
-32.556824,200,42030.263274
-29.004211,200,42063.833527
-41.712759,200,42068.789838
-29.232905,200,42073.827767
-26.661933,200,42106.401114
12.568662,200,42138.929362
36.669052,200,42144.564887
-28.556607,200,42177.694103
-35.683881,200,42182.6445
23.209034,200,42187.686079
-41.150292,200,42192.511895
-38.079917,200,42224.91745
-25.627497,200,42229.726295
-30.944801,200,42243.744802
36.857993,200,42248.685969
-46.904861,200,42281.301474
47.15952,200,42314.243328
-86.645923,200,42319.08021
-24.538973,200,42323.925919
-15.042224,200,42329.036039
-27.083466,200,42334.070106
62.022654,200,42338.979698
-73.055841,200,42371.783377
-33.41206,200,42376.760459
-26.905207,200,42381.733254
-60.267531,200,42386.833703
-31.347935,200,42419.715968
-19.576135,200,42433.861294
-32.91869,200,42438.736724
-29.849329,200,42443.755557
-26.481173,200,42448.58326
16.058201,200,42453.682393
-0.32718,200,42458.539474
-25.250661,200,42463.618199
3.701995,200,42477.840114
-1.207429,200,42482.922246
6.933776,200,42487.96143
-32.778505,200,42494.057647
-23.600837,200,42508.302439
1.273594,200,42540.881281
-36.9915,200,42545.782281
-24.985199,200,42550.687134
12.059318,200,42555.66533
