#{"t_start": 1632030179.7015643, "env_id": "ScratchItchJacoHuman-v1"}
r,l,t
-87.81624,200,10.100903
-30.812156,200,18.312354
-48.434642,200,26.233972
-81.494957,200,34.673584
-33.896759,200,42.488504
-62.01568,200,50.135094
-89.114517,200,80.86033
-57.091563,200,88.384717
-93.201426,200,119.343468
-75.415363,200,126.532335
-27.772271,200,135.138539
-48.47248,200,165.893631
-55.335014,200,173.136262
-50.296764,200,180.855511
-43.761398,200,188.198123
-64.297449,200,204.149333
-39.526333,200,211.823109
-40.950346,200,219.407039
-29.992767,200,227.079309
-41.481725,200,242.505727
-32.611833,200,275.26403
-34.79343,200,290.891818
-24.919485,200,306.919111
-27.519338,200,314.928836
-34.142337,200,331.120157
-35.362888,200,338.992421
-48.665469,200,346.73646
-40.493841,200,354.290596
-114.927182,200,362.122537
-44.028965,200,369.958571
-11.207755,200,378.814664
-27.248683,200,409.537178
-44.014601,200,416.987392
-41.329293,200,449.57605
-43.07981,200,457.358479
-18.901532,200,472.591672
-30.246688,200,480.084326
-8.03575,200,487.780899
-26.273489,200,518.701584
-16.187513,200,550.110123
-38.072506,200,558.789107
-37.252301,200,566.55581
-34.343018,200,574.292911
-34.958025,200,590.430892
-34.720088,200,605.934035
-22.731541,200,636.871333
-32.627265,200,644.178632
-36.258124,200,659.513807
30.10868,200,690.56068
-26.233741,200,698.448016
-45.911865,200,706.100522
-51.262678,200,715.299992
-27.858016,200,731.817514
-27.936518,200,739.945628
-47.483619,200,771.418894
4.499598,200,778.775852
-46.159344,200,794.312078
-26.035766,200,801.984363
-24.480709,200,810.017678
-46.54111,200,842.491785
-11.184705,200,850.73946
-26.794519,200,886.630623
-14.747177,200,894.707222
-48.685317,200,902.581306
-29.059643,200,935.888978
-42.916355,200,943.891639
-37.681644,200,951.691491
-44.159518,200,980.708937
-33.929914,200,988.664314
-36.018912,200,996.667943
-51.8559,200,1012.657698
-34.912576,200,1029.749509
-55.31766,200,1062.657285
-22.261471,200,1071.21513
-14.046379,200,1079.865426
-29.772163,200,1115.075615
-19.618992,200,1122.793573
1.618808,200,1138.188598
36.949492,200,1171.402369
-47.624705,200,1189.705005
-0.968108,200,1207.788166
-19.681994,200,1216.933697
-17.613842,200,1224.988935
-38.50776,200,1232.99243
-22.406514,200,1241.53376
-22.483898,200,1249.612015
-41.507984,200,1257.745639
-22.047287,200,1265.749073
-21.24319,200,1273.695699
32.114237,200,1305.764259
-29.686231,200,1313.759813
-3.471275,200,1321.676376
-7.210552,200,1330.591912
-26.289175,200,1363.029011
-25.706359,200,1371.125713
-36.806199,200,1404.142955
-28.691046,200,1411.889431
-10.738843,200,1419.845259
2.560541,200,1428.174961
-33.757868,200,1436.22582
-20.147516,200,1469.384697
35.162419,200,1477.166895
-37.346594,200,1486.442422
-20.710796,200,1494.798896
15.520732,200,1512.670229
-14.297446,200,1531.273719
95.939467,200,1540.471595
-28.598728,200,1549.382341
-26.024707,200,1557.682104
61.92264,200,1566.221347
38.036135,200,1575.047899
6.231494,200,1590.982199
-25.143982,200,1608.185192
-10.397583,200,1616.709768
-14.312675,200,1625.273181
-26.712914,200,1661.555852
32.531518,200,1696.09829
-31.209003,200,1704.006224
10.035711,200,1712.076216
-24.74476,200,1744.637022
-23.065521,200,1776.534267
-34.043719,200,1784.36386
-35.937207,200,1793.48237
48.347879,200,1801.420394
-26.246857,200,1809.493613
-25.943897,200,1817.452989
-100.468041,200,1851.705835
-14.666008,200,1861.874227
-9.718391,200,1870.566414
-29.909417,200,1905.267204
17.621834,200,1940.924839
32.868583,200,1948.665686
-33.161746,200,1956.637279
51.948876,200,1990.033507
43.532305,200,1997.887774
-2.697036,200,2005.679986
-32.720733,200,2013.579829
-27.057976,200,2021.469314
-5.247161,200,2029.397941
-60.572896,200,2047.721019
-28.125355,200,2056.252717
-38.355023,200,2066.397561
-33.882299,200,2074.560992
1.852629,200,2083.94237
-26.10604,200,2092.176004
-28.563968,200,2100.680406
-22.569962,200,2109.080218
-39.414209,200,2117.374069
